price,drivetrain,model,year,province,front_legroom(mm),battery_charge_time(hr),battery_range(km),mileage(km)
54995,All-Wheel Drive,Model Y,2023.0,BC,1062.0,11.5,531.0,17250
45800,All-Wheel Drive,Model Y,2021.0,ON,1063.0,10.0,509.0,22965
19880,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,354.0,164688
42995,Rear-Wheel Drive,Model Y,2023.0,ON,1064.0,9.4,418.0,7600
38900,All-Wheel Drive,Model Y,2021.0,ON,1062.0,10.0,509.0,85000
27995,Rear-Wheel Drive,Model 3,2019.0,BC,1085.0,10.0,425.0,109310
28990,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,518.0,97800
24995,Rear-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,402.0,90900
36980,All-Wheel Drive,Model Y,2021.0,ON,1062.0,10.0,509.0,108886
23990,Rear-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,354.0,88766
34800,Rear-Wheel Drive,Model 3,2021.0,BC,1085.0,10.0,430.0,38600
76888,All-Wheel Drive,Model X,2020.0,ON,1046.0,12.0,491.0,65200
37480,All-Wheel Drive,Model Y,2021.0,ON,1063.0,10.0,509.0,98600
29995,Rear-Wheel Drive,Model 3,2019.0,BC,1085.0,10.0,386.0,69000
34880,Rear-Wheel Drive,Model 3,2023.0,ON,1085.0,10.4,438.0,50688
43979,All-Wheel Drive,Model 3,2023.0,QC,1085.0,11.5,576.0,37800
45998,All-Wheel Drive,Model Y,2020.0,QC,1062.0,10.0,507.0,24215
39888,All-Wheel Drive,Model 3,2022.0,ON,1085.0,10.0,538.0,33495
27995,Rear-Wheel Drive,Model 3,2020.0,QC,1085.0,10.0,402.0,70535
45489,All-Wheel Drive,Model 3,2022.0,QC,1085.0,10.0,507.0,41229
26995,Rear-Wheel Drive,Model 3,2018.0,ON,1085.0,12.0,354.0,76920
27490,Rear-Wheel Drive,Model 3,2020.0,NS,1085.0,10.0,402.0,81680
26880,Rear-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,430.0,89000
25988,Rear-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,402.0,93000
28480,Rear-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,430.0,68857
23995,Rear-Wheel Drive,Model 3,2019.0,ON,1085.0,10.0,386.0,98000
39887,All-Wheel Drive,Model Y,2021.0,ON,1062.0,10.0,509.0,77966
42995,All-Wheel Drive,Model 3,2022.0,AB,1085.0,10.0,538.0,50451
48995,All-Wheel Drive,Model Y,2023.0,QC,1062.0,11.5,531.0,41201
35800,Rear-Wheel Drive,Model 3,2023.0,ON,1085.0,10.4,438.0,23586
21795,Rear-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,402.0,137000
48995,All-Wheel Drive,Model Y,2021.0,BC,1062.0,10.0,509.0,19061
34998,Rear-Wheel Drive,Model 3,2021.0,BC,1085.0,10.0,430.0,31516
28900,Rear-Wheel Drive,Model 3,2021.0,ON,1085.0,10.0,430.0,49699
49888,All-Wheel Drive,Model X,2016.0,BC,1045.0,12.0,402.0,85049
52520,All-Wheel Drive,Model Y,2022.0,ON,1062.0,10.0,488.0,39253
34490,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,518.0,35966
23800,All-Wheel Drive,Model 3,2020.0,ON,1085.0,10.0,518.0,160426
