title,price,location,Mileage,Drivetrain,Exterior color,Interior color,Fuel Consumption,Fuel type,Battery charge time,Battery range,Make:,Model:,Year:,Trim:,Body type:,Exterior colour:,Interior colour:,Mileage:,Condition:,VIN:,Stock number:,Combined gas mileage:,City gas mileage:,Highway gas mileage:,Fuel type:,Battery capacity:,Battery charge time (240V):,Battery range:,Transmission:,Drivetrain:,NHTSA overall safety rating:,NHTSA frontal crash rating:,NHTSA side crash rating:,NHTSA rollover rating:,Doors:,Front legroom:,Back legroom:,Cargo volume:,Transmission,Dealer:,Backup camera,Battery charge time (120V):,Cabin size:,Bed length:,Safety rating,Alloy wheels,Bluetooth
2021 Tesla Model 3 Standard Range Plus RWD,"$34,388","Toronto, ON • Home delivery available","45,500",Rear-Wheel Drive,Gray,Black,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,Gray,Black,"45,500 km",Used,5YJ3E1EA1MF985180,2910,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2019 Tesla Model X,"$59,995","Orillia, ON","99,419",,,,,,,,Tesla,Model X,2019.0,,SUV / Crossover,,,"99,419 km",Used,5YJXCBE22KF143368,P143368,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Tesla Model 3 Standard Range Plus RWD,"$35,888","Nanaimo, BC","78,498",Rear-Wheel Drive,White,Black,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,White,Black,"78,498 km",Used,5YJ3E1EAXMF838470,VP3483,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2019 Tesla Model 3 Standard Plus RWD,"$29,995","Toronto, ON","70,000",Rear-Wheel Drive,Gray,Black,1.9 L/100km,Electric,10 hr,386 km,Tesla,Model 3,2019.0,Standard Plus RWD,Sedan,Gray,Black,"70,000 km",Used,5YJ3E1EA2KF422636,EV218ON,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,386 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2019 Tesla Model 3 Standard RWD,"$22,995","Toronto, ON","152,000",Rear-Wheel Drive,White,,1.9 L/100km,Electric,10 hr,354 km,Tesla,Model 3,2019.0,Standard RWD,Sedan,White,,"152,000 km",Used,5YJ3E1EA6KF515126,515126,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,354 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
2022 Tesla Model Y Performance AWD,"$55,999","Montréal, QC","25,000",All-Wheel Drive,Black,White,2.09 L/100km,Electric,10 hr,488 km,Tesla,Model Y,2022.0,Performance AWD,SUV / Crossover,Black,White,"25,000 km",Used,7SAYGDEF5NF505739,505739,2.1 L/100km,2 L/100km,2.2 L/100km,Electric,75 kWh,10 hr,488 km,Automatic,All-Wheel Drive,,,,,4 doors,1062 mm,1029 mm,971 L,,,,,,,,,
2020 Tesla Model 3 Long Range AWD,"$35,888","Vancouver, BC","94,244",All-Wheel Drive,White,Black,1.945 L/100km,Electric,10 hr,518 km,Tesla,Model 3,2020.0,Long Range AWD,Sedan,White,Black,"94,244 km",Used,5YJ3E1EB8LF643197,BJE3197,1.9 L/100km,1.9 L/100km,2 L/100km,Electric,75 kWh,10 hr,518 km,Automatic,All-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,,,,,,,,,
2012 Tesla Model S Performance RWD,"$34,999","Burnaby, BC","20,432",Rear-Wheel Drive,Silver,,2.655 L/100km,Electric,12 hr,407 km,Tesla,Model S,2012.0,Performance RWD,Sedan,Silver,,"20,432 km",Used,5YJSA1DP3CFS02002,S02002,2.7 L/100km,2.7 L/100km,2.6 L/100km,Electric,40 kWh,12 hr,407 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,899 mm,894 L,Automatic,,,,,,,,
2022 Tesla Model 3 RWD,"$36,995","North Vancouver, BC","94,250",Rear-Wheel Drive,Black,White,,Electric,10 hr,430 km,Tesla,Model 3,2022.0,RWD,Sedan,Black,White,"94,250 km",Used,5YJ3E1EA9NF153877,153877,,,,Electric,60 kWh,10 hr,430 km,1-Speed Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,648 L,1-Speed Automatic,,,,,,,,
2021 Tesla Model 3 Standard Range Plus RWD,"$25,300","London, ON","187,000",Rear-Wheel Drive,Red,,1.9 L/100km,Electric,10 hr,430 km,Tesla,Model 3,2021.0,Standard Range Plus RWD,Sedan,Red,,"187,000 km",Used,5YJ3E1EA0MF985896,U0213,1.9 L/100km,1.9 L/100km,1.9 L/100km,Electric,50 kWh,10 hr,430 km,Automatic,Rear-Wheel Drive,,,,,4 doors,1085 mm,894 mm,424 L,Automatic,,,,,,,,
